registration_series,registration_number,organization_name,expiry_date,fee_amount,bgmea_id,bgmea_address,bgmea_phone,rsc_factory_id,rsc_address,rsc_buyers,github_buyers,github_source,match_score,match_confidence
Ba: Bo:,420,Indigo Washing Ltd.,29-11-1996,2500,,,,,,,,,0,none
Ba: Bo:,429,Kurigram Textile Mills.,22-11-2005,2500,,,,,,,,,0,none
Ba: Bo:,433,Rohman Hosery Dyeing & Printins.,07-09-2005,5500,,,,,,,,,0,none
Ba: Bo:,438,Faridpur Textile Ind.Ltd.,25-04-1994,6500,,,,,,,,,0,none
Ba: Bo:,442,Mascot Garments Ltd.,16-04-2001,2500,,,,,,,,,0,none
Ba: Bo:,451,Phenix Fabrics Ltd.,27-06-1992,3500,,,,,,,,,0,none
Ba: Bo:,453,Eagle Star Textile Mills Ltd.,22-07-2004,3500,,,,,,,,,0,none
Ba: Bo:,452,M/S- Panther Textiles Ltd.,09-06-1994,4500,,,,,,,,,0,none
Ba: Bo:,457,Baghdadth Textile Mills Ltd.,12-04-2021,4500,,,,,,,,,0,none
Ba: Bo:,458,K.D.S. Garments Ind. Ltd.,15-07-2011,3500,,,,,,,,,0,none
Ba: Bo:,466,Fashion Washing Dying Ltd.,29-10-1997,"6,000/-",,,,,,,,,0,none
Ba: Bo:,465,Comilla Dycing & Scroor Printing Work,26-09-1992,"3,500/-",,,,,,,,,0,none
Ba: Bo:,471,Saiham Knit Composite Ltd.,15-03-2023,6000/-,,,,,,,,,0,none
Ba: Bo:,475,R.B. Textile Mills,29-10-2004,"3,500/-",,,,,,,,,0,none
Ba: Bo:,482,M/S Opex Garments Ltd.,22-11-1996,"3,500/-",,,,,,,,,0,none
Ba: Bo:,485,Poly Fabrics Ltd,22-09-2022,"4,500/-",,,,,,,,,0,none
Ba: Bo:,488,Eagle Star Textile Mills Ltd.,23-03-2004,"2,500/-",,,,,,,,,0,none
Ba: Bo:,490,Arafat Fashion Garments Ltd.,01-03-1999,,,,,,,,,,0,none
Ba: Bo:,489,Caretex (Finishing Mills)Ltd.,18-03-2019,5000,,,,,,,,,0,none
Ba: Bo:,493,M/S Amtex Dyeing and printing,07-03-2023,"3,500/-",,,,,,,,,0,none
Ba: Bo:,496,M.M. Garments Ltd.,24-04-1996,"3,500/-",,,,,,,,,0,none
Ba: Bo:,499,Shah Fatehullah Textile Mills Ltd.,09-05-1995,"3,500/-",,,,,,,,,0,none
Ba: Bo:,500,Shah Fatehullah Textile Mills Ltd.,09-05-1995,"3,500/-",,,,,,,,,0,none
Ba: Bo:,501,Shah Fatehullah Textile Mills Ltd.,09-05-1995,"3,500/-",,,,,,,,,0,none
Ba: Bo:,508,M.M. Garments Ltd.,26-06-2001,"3,500/-",,,,,,,,,0,none
Ba: Bo:,511,R. R. Textile Mills Ltd.,23-07-1996,"3,500/-",,,,,,,,,0,none
Ba: Bo:,513,Elita Garments Industries Ltd.,22-07-1992,"3,500/-",,,,,,,,,0,none
Ba: Bo:,516,Cutting & Garments Factory Ltd.,10-10-2011,"3,500/-",,,,,,,,,0,none
Ba: Bo:,517,Opex Garments Ltd.,21-06-2003,"3,500/-",,,,,,,,,0,none
Ba: Bo:,532,Mainamati Textile Mills Ltd.,01-11-2001,"3,500/-",,,,,,,,,0,none
Ba: Bo:,538,Rahman Hosiery Dyeing & Finishing Mills.,18-01-1998,"4,500/-",,,,,,,,,0,none
Ba: Bo:,537,Kazi Nuri Alam Textile & easter line (pvt.) Ltd.,08-07-2016,"3,500/-",,,,,,,,,0,none
Ba: Bo:,540,Sun Textile Mills Ltd.,25-01-1999,"4,500/-",,,,,,,,,0,none
Ba: Bo:,553,Swapan Garments Ltd.,30-11--0001,"3,500/-",,,,,,,,,0,none
Ba: Bo:,554,Swapan Garments Ltd.,20-05-1994,"3,500/-",,,,,,,,,0,none
Ba: Bo:,556,Tamyuddin Textile Mills Ltd.,04-05-2004,"3,500/-",,,,,,,,,0,none
Ba: Bo:,560,Eime Textile Spening Mills Ltd.,12-07-2002,,,,,,,,,,0,none
Ba: Bo:,563,Textile Industries Development Centre,17-07-2005,"3,500/-",,,,,,,,,0,none
Ba: Bo:,562,Madina Textile Processing MIlls,06-07-2001,"3,500/-",,,,,,,,,0,none
Ba: Bo:,566,Knittex Indeutries Ltd.,19-03-1999,"3,500/-",,,,,,,,,0,none
Ba: Bo:,568,Crescent Textiles Ltd.,30-08-1999,"4,500/-",,,,,,,,,0,none
Ba: Bo:,570,Cheung Hing Sweater (BD) Ltd.,01-09-1997,"3,500/-",,,,,,,,,0,none
Ba: Bo:,571,Samad Textile Industries Ltd.,30-11--0001,"3,500/-",,,,,,,,,0,none
Ba: Bo:,569,M/S: New Progoti Dyeing & Printing Industries,16-05-2011,"3,500/-",,,,,,,,,0,none
Ba: Bo:,572,M/S R.K. Textile & Processing Plant.,26-10-2016,5500,,,,,,,,,0,none
Ba: Bo:,577,Knit Fashion Liited,24-10-1999,"3,500/-",,,,,,,,,0,none
Ba: Bo:,578,Pakeja Dyeeing & Printing Ind. (p) Ltd.,26-11-2002,"4,500/-",,,,,,,,,0,none
Ba: Bo:,583,Pabna Textile & Proxessing Ind. (P) Ltd.,30-11--0001,"5,500/-",,,,,,,,,0,none
Ba: Bo:,591,Tajmahal Dyeing & Printing Works,14-03-2000,"6,500/-",,,,,,,,,0,none
Ba: Bo:,592,Raj washing plant Ltd.,22-10-2017,"3,500/-",,,,,,,,,0,none
Ba: Bo:,593,Khan Bro's Textile Mills Ltd.,27-01-2011,"6,000/-",,,,,,,,,0,none
Ba: Bo:,603,Imperical Dyeing & Hosiery Mills.,23-04-1996,,,,,,,,,,0,none
Ba: Bo:,604,Super Fabrics,24-04-1997,"6,500/-",,,,,,,,,0,none
Ba: Bo:,606,Jamuna Knitting & Dyeing Ltd.,11-04-2022,"6,500/-",,,,,,,,,0,none
Ba: Bo:,611,Medlar Garments Ltd.,30-03-1994,,,,,,,,,,0,none
Ba: Bo:,614,Shawn Textile Industries (P) Ltd.,22-03-2000,"5,000/-",,,,,,,,,0,none
Ba: Bo:,622,M/S Auto Textile,22-08-2000,"6,500/-",,,,,,,,,0,none
Ba: Bo:,624,Apex Fashion Ware Ltd.,10-07-2017,"6,000/-",,,,,,,,,0,none
Ba: Bo:,627,Bechal Dyeing & Printing Works Ltd.,12-06-2002,"5,000/-",,,,,,,,,0,none
Ba: Bo:,628,Shan Knitting & Processing Ltd.,04-06-2006,"3,500/-",,,,,,,,,0,none
Ba: Bo:,631,Intigrity Apparels,15-08-2007,"2,500/-",,,,,,,,,0,none
Ba: Bo:,633,Ocean Garments Ltd.,16-08-2000,"2,500/-",,,,,,,,,0,none
Ba: Bo:,632,Ocean Garments Ltd.,16-08-1996,"2,500/-",,,,,,,,,0,none
Ba: Bo:,634,Unitex apparels Ltd.,03-08-1998,"2,500/-",,,,,,,,,0,none
Ba: Bo:,638,Habibur Rahman Textile MIlls Ltd.,11-08-2022,"3,500/-",,,,,,,,,0,none
Ba: Bo:,637,Shannoon Textile Ltd.,08-07-1994,"4,500/-",,,,,,,,,0,none
Ba: Bo:,640,Comilla Dyeing & Scrieu Printing works (Pvt.) Ltd.,14-06-2021,"4,500/-",,,,,,,,,0,none
Ba: Bo:,641,Wisdom Fabrics,30-11--0001,"5,000/-",,,,,,,,,0,none
Ba: Bo:,642,Moniukta Dyeing Printing & Finishing Ltd.,10-04-2006,"4,500/-",,,,,,,,,0,none
Ba: Bo:,646,Shanta Garments Ltd.,30-11-2016,4500,,,,,,,,,0,none
Ba: Bo:,648,Star Fabrics,28-11-2002,"5,000/-",,,,,,,,,0,none
Ba: Bo:,657,Sigma Garments Ind.,30-11--0001,"2,500/-",,,,,,,,,0,none
Ba: Bo:,658,Peninsula Garments Ltd.,08-07-2018,"5,000/-",,,,,,,,,0,none
Ba: Bo:,660,Opex Garments Ltd.,07-12-1996,"5,000/-",,,,,,,,,0,none
Ba: Bo:,664,Tanvir Textile Mills Ltd.,15-06-2011,"4,500/-",,,,,,,,,0,none
Ba: Bo:,665,Imperial Knitting Ind. Ltd.,20-01-2010,"5,000/-",,,,,,,,,0,none
Ba: Bo:,667,Haque Wears International (P) Ltd.,14-01-1997,"2,500/-",,,,,,,,,0,none
Ba: Bo:,672,M.S. Garments Ltd.,25-03-2004,"5,000/-",,,,,,,,,0,none
Ba: Bo:,675,Lalmai Footwear Limited,26-03-2023,"3,500/-",,,,,,,,,0,none
Ba: Bo:,677,Austin Apparel (P) Ltd.,08-05-2001,"2,500/-",,,,,,,,,0,none
Ba: Bo:,678,Austin Apparel (P) Ltd.,23-05-2001,"2,500/-",,,,,,,,,0,none
Ba: Bo:,680,Haque Dyeing & Printing Mills,13-05-1999,"7,000/-",,,,,,,,,0,none
Ba: Bo:,679,Austin Apparel (P) Ltd.,23-05-2001,"2,500/-",,,,,,,,,0,none
Ba: Bo:,682,Pahartali Textile & Hosiery Mills,06-05-2018,"3,500/-",,,,,,,,,0,none
Ba: Bo:,683,Rupa Garments,26-06-1996,2,,,,,,,,,0,none
Ba: Bo:,684,Gulshan Garments (P) Ltd.,15-05-1994,"2,500/-",,,,,,,,,0,none
Ba: Bo:,685,Gulshan Garments (P) Ltd.,15-05-1994,"2,500/-",,,,,,,,,0,none
Ba: Bo:,686,Sazzad Hossain Dyeing & Printing Works.,01-05-2004,"3,500/-",,,,,,,,,0,none
Ba: Bo:,688,Sportex & Apparels (P) Ltd.,27-05-1997,"2,500/-",,,,,,,,,0,none
Ba: Bo:,687,The Mak Dyeing,18-06-2002,"4,500/-",,,,,,,,,0,none
Ba: Bo:,689,Sportex & Apparels (P) Ltd.,27-05-1997,"2,500/-",,,,,,,,,0,none
Ba: Bo:,690,Pacific Sweaters Limited,09-05-2017,"2,500/-",,,,,,,,,0,none
Ba: Bo:,691,Pacific Sweaters Limited,18-07-2002,"2,500/-",,,,,,,,,0,none
Ba: Bo:,692,Padma Knitted Dyeing,19-05-2008,"4,500/-",,,,,,,,,0,none
Ba: Bo:,694,Mascot Apparel Limited,29-06-2001,"2,500/-",,,,,,,,,0,none
Ba: Bo:,695,Mascot Apparel Limited,29-06-2001,"2,500/-",,,,,,,,,0,none
Ba: Bo:,696,Brothers Fashion Limited,01-06-2005,"2,500/-",,,,,,,,,0,none
Ba: Bo:,697,Brothers Fashion Limited,01-06-2005,"2,500/-",,,,,,,,,0,none
Ba: Bo:,698,Misami Garments Limited,22-06-1998,"2,500/-",,,,,,,,,0,none
Ba: Bo:,699,Gias textile Mills Ltd.,20-10-2010,"4,500/-",,,,,,,,,0,none
Ba: Bo:,700,Quality Garments Washing Ind.,24-06-2011,"3,500/-",,,,,,,,,0,none
Ba: Bo:,701,Titan Apparels Ltd.,27-06-1995,"2,500/-",,,,,,,,,0,none
Ba: Bo:,702,Titan Apparels Ltd.,19-06-1997,"2,500/-",,,,,,,,,0,none
Ba: Bo:,703,Diana Garments (R.t.) Ltd.,20-06-2003,"2,500/-",,,,,,,,,0,none
Ba: Bo:,704,Diana Garments (R.t.) Ltd.,29-06-2004,"2,500/-",,,,,,,,,0,none
Ba: Bo:,706,Miti Apparels Ltd.,30-11--0001,"2,500/-",,,,,,,,,0,none
Ba: Bo:,707,Miti Apparels Ltd.,30-11--0001,"2,500/-",,,,,,,,,0,none
Ba: Bo:,709,Bismillah Knit Wear Ltd.,30-11--0001,"2,500/-",,,,,,,,,0,none
Ba: Bo:,711,Aegis Textile Mills Ltd.,21-07-2017,"3,500/-",,,,,,,,,0,none
Ba: Bo:,715,Sonargaon Textile Mfg. Corp. Ltd.,09-08-1998,"7,000/-",,,,,,,,,0,none
Ba: Bo:,720,Borax Apparels Ltd.,30-11--0001,"3,500/-",,,,,,,,,0,none
Ba: Bo:,722,Noman Fabrics Ltd.,16-05-2018,"7,000/-",,,,,,,,,0,none
Ba: Bo:,724,Arrow Fashion (R.t.) Ltd.,24-07-1995,"5,000/-",,,,,,,,,0,none
Ba: Bo:,726,Sattar Knit Dyeing & Finishing Mills Ltd.,15-08-2002,"3,500/-",,,,,,,,,0,none
Ba: Bo:,708,Bismillah Knit Wear Ltd.,30-11--0001,"2,500/-",,,,,,,,,0,none
Ba: Bo:,727,D.N. Textile Mills Ltd.,12-08-1996,"5,500/-",,,,,,,,,0,none
Ba: Bo:,733,Zilani Apparels Limited,17-08-2003,"2,500/-",,,,,,,,,0,none
Ba: Bo:,732,Zilani Apparels Limited,17-08-2003,"2,500/-",,,,,,,,,0,none
Ba: Bo:,734,Zilani Apparels Limited,17-08-2003,"2,500/-",,,,,,,,,0,none
Ba: Bo:,735,Zilani Apparels Limited,27-08-2003,"2,500/-",,,,,,,,,0,none
Ba: Bo:,738,Vi Vi Textile Mills (Pvt.) Ltd.,25-07-2006,"5,000/-",,,,,,,,,0,none
Ba: Bo:,739,Wisdom Fabrics,16-09-2002,"5,500/-",,,,,,,,,0,none
Ba: Bo:,746,Shirt Makers Limited,25-10-1993,,,,,,,,,,0,none
Ba: Bo:,747,Nasir Sweaters Ltd.,05-04-1998,"2,500/-",,,,,,,,,0,none
Ba: Bo:,750,Chittagong Dyeing Finishing & Printing Mills Ltd.,11-09-2005,"5,500/-",,,,,,,,,0,none
Ba: Bo:,749,Super Knitting & Dyeing Mills.,12-09-2004,"5,000/-",,,,,,,,,0,none
Ba: Bo:,753,Monwara Dyeing & Printing,30-11--0001,"5,000/-",,,,,,,,,0,none
Ba: Bo:,751,Jamuna Knitting & Dyeing Ltd.,22-10-2002,"7,000/-",,,,,,,,,0,none
Ba: Bo:,752,Esquire Dyeing Ind. Ltd.,22-07-2022,6000/-,,,,,,,,,0,none
Ba: Bo:,759,Binni Garments Ltd.,23-04-1999,"2,500/-",,,,,,,,,0,none
Ba: Bo:,758,Jenesis Fashion Ltd.,02-09-2002,"2,500/-",,,,,,,,,0,none
Ba: Bo:,757,Jaansco Garments Industries Ltd.,25-11-2001,"2,500/-",,,,,,,,,0,none
Ba: Bo:,762,Alauddin Textile (ATM) Pvt. Ltd.,18-10-2022,"6,000/-",,,,,,,,,0,none
Ba: Bo:,764,Knittex Industries Ltd.,30-11--0001,"4,500/-",,,,,,,,,0,none
Ba: Bo:,765,Knittex Industries Ltd.,14-11-2000,"3,500/-",,,,,,,,,0,none
