registration_series,registration_number,organization_name,expiry_date,fee_amount,bgmea_id,bgmea_address,bgmea_phone,rsc_factory_id,rsc_address,rsc_buyers,github_buyers,github_source,match_score,match_confidence
Ba: Bo:,2581,Red Point Jackets Ltd.,26-10-2020,3500,,,,,,,,,0,none
Ba: Bo:,2583,New orient Dyeing,20-08-2022,3500,,,,,,,,,0,none
Ba: Bo:,2584,Sun Kniting & Processing,20-12-2006,7000,,,,,,,,,0,none
Ba: Bo:,2587,Iver Sine Sweater,28-08-2005,2500,,,,,,,,,0,none
Ba: Bo:,2588,Pantalun Jeans Ltd.,09-09-2019,2500,,,,,,,,,0,none
Ba: Bo:,2591,Rupnagar Printing  Works,06-08-2006,4500,,,,,,,,,0,none
Ba: Bo:,2593,Fortune Fashion Ltd.,19-01-2018,2500,,,,,,,,,0,none
Ba: Bo:,2592,C N Knitwares Ltd.,17-06-2010,2500,,,,,,,,,0,none
Ba: Bo:,2594,Continental Apparels Ltd.,25-08-2015,2500,,,,,,,,,0,none
Ba: Bo:,2595,N D C Sweaters Ltd.,20-08-2003,2500,,,,,,,,,0,none
Ba: Bo:,2597,Modern Dying & Printing Scrin Ltd.,17-08-2006,5000,,,,,,,,,0,none
Ba: Bo:,2599,Jovian Sweater Ltd.,16-08-2012,2500,,,,,,,,,0,none
Ba: Bo:,2598,Herodon Garments Ltd.,12-08-2011,2500,,,,,,,,,0,none
Ba: Bo:,2601,Jamuna Knitting & Dyeing Ltd.,19-08-2022,6500,,,,,,,,,0,none
Ba: Bo:,2602,Meris Sweaters Ltd.,20-09-2004,2500,,,,,,,,,0,none
Ba: Bo:,2604,A M Sweaters Ltd.,27-08-2004,,,,,,,,,,0,none
Ba: Bo:,2605,Al-Paka Sweater (P:) Ltd.,23-05-2005,2500,,,,,,,,,0,none
Ba: Bo:,2603,Keliko Sweater,26-08-2003,2500,,,,,,,,,0,none
Ba: Bo:,2607,Atia Textile,05-09-2011,3500,,,,,,,,,0,none
Ba: Bo:,2608,Pacific Sweaters Limited,29-09-2012,2500,,,,,,,,,0,none
Ba: Bo:,2610,Ahsan Fashions Ltd.,28-08-2019,2500,,,,,,,,,0,none
Ba: Bo:,2609,Sakib Sweaters Ltd.,06-09-2005,2500,,,,,,,,,0,none
Ba: Bo:,2611,Uday Sweaters Ltd.,22-05-2017,2500,,,,,,,,,0,none
Ba: Bo:,2613,Azim Mannan Garments Ltd.,15-05-2018,2500,,,,,,,,,0,none
Ba: Bo:,2614,Mohammadi Fashion Sweaters Ltd.,25-09-2012,2500,,,,,,,,,0,none
Ba: Bo:,2615,Mohammadi Fashion Sweaters Ltd.,25-09-2012,2500,,,,,,,,,0,none
Ba: Bo:,2622,Hannan Fashions Ltd.,14-07-2022,2500,,,,,,,,,0,none
Ba: Bo:,2621,Hannan Fashions Ltd.,14-07-2022,2500,,,,,,,,,0,none
Ba: Bo:,2624,Simko Dresses Ltd.,30-11--0001,2500,,,,,,,,,0,none
Ba: Bo:,2623,Ashik Jeans Apparels Ltd.,23-09-2004,2500,,,,,,,,,0,none
Ba: Bo:,2627,T-H Fashion,28-09-2003,2500,,,,,,,,,0,none
Ba: Bo:,2629,Beauty Garments (p:) Ltd.,16-11-2016,2500,,,,,,,,,0,none
Ba: Bo:,2628,Bichitra Garments Ltd.,23-08-2012,2500,,,,,,,,,0,none
Ba: Bo:,2630,Tasnia Fabrics Ltd.,17-09-2013,2500,,,,,,,,,0,none
Ba: Bo:,2632,Cosmic Fabrics Ltd.,20-09-2011,5000,,,,,,,,,0,none
Ba: Bo:,2633,BKC Sweaters Ltd.,23-11-2022,2500,,,,,,,,,0,none
Ba: Bo:,2639,Asian Specialized Textile Mills Ltd.,17-09-2018,4500,,,,,,,,,0,none
Ba: Bo:,2640,Asian Textile Mills Ltd.,19-09-2018,7000,,,,,,,,,0,none
Ba: Bo:,2641,Sun Textile,04-10-2005,3500,,,,,,,,,0,none
Ba: Bo:,2642,M N Dying & Printing Works,02-10-2008,3500,,,,,,,,,0,none
Ba: Bo:,2644,Cost to Cost Fashion Ltd.,19-09-2012,2500,,,,,,,,,0,none
Ba: Bo:,2647,Sonargaon Dying & Printing Ind: Ltd.,29-09-2010,4500,,,,,,,,,0,none
Ba: Bo:,2648,Recent Sweaters Ltd.,11-10-2007,4500,,,,,,,,,0,none
Ba: Bo:,2649,Fair Apparels Ltd.,15-10-2008,2500,,,,,,,,,0,none
Ba: Bo:,2652,Litun Fabrics Ltd.,25-06-2021,3500,,,,,,,,,0,none
Ba: Bo:,2657,Nipunika Garments Ltd.,07-10-2016,2500,,,,,,,,,0,none
Ba: Bo:,2656,Well Sweaters Ltd.,08-10-2013,2500,,,,,,,,,0,none
Ba: Bo:,2659,M M Knitware Ltd.,16-10-2013,2500,,,,,,,,,0,none
Ba: Bo:,2660,Bilasi Textile Ind. (P.) Ltd.,22-10-2004,4500,,,,,,,,,0,none
Ba: Bo:,2661,Choice Washing Ltd.,22-10-2003,3500,,,,,,,,,0,none
Ba: Bo:,2664,Mita Dying & Printing Mills,21-09-2022,5000,,,,,,,,,0,none
Ba: Bo:,2663,Jerina Composit Textile Ind: Ltd.,13-10-2003,4500,,,,,,,,,0,none
Ba: Bo:,2668,Cliffton Apparels Ltd.,12-10-2022,6500/-,,,,,,,,,0,none
Ba: Bo:,2669,Special Textile,26-10-2003,3500,,,,,,,,,0,none
Ba: Bo:,2670,Hosen Calendering & Finishing Mills Ltd.,04-03-2021,4500,,,,,,,,,0,none
Ba: Bo:,2671,Hamid Fabrics Ltd.,17-10-2022,7000,,,,,,,,,0,none
Ba: Bo:,2672,Hamid Fabrics Ltd.,17-10-2022,7000,,,,,,,,,0,none
Ba: Bo:,2673,Alam Dying & Printing Mills,15-10-2017,3500,,,,,,,,,0,none
Ba: Bo:,2677,Kanchpur printing & Finishing Mills Ptv Ltd,04-09-2022,5500,,,,,,,,,0,none
Ba: Bo:,2679,Paradise Washing Plant Ltd.,20-10-2006,5000,,,,,,,,,0,none
Ba: Bo:,2681,Chowdhury Knitwares Ltd.,12-10-2022,6500,,,,,,,,,0,none
Ba: Bo:,2683,Impressive Garments (P:) Ltd.,16-12-2016,2500,,,,,,,,,0,none
Ba: Bo:,2684,Evergreen Sweaters Ltd.,25-06-2015,2500,,,,,,,,,0,none
Ba: Bo:,2685,Evergreen Sweaters Ltd.,12-10-2004,2500,,,,,,,,,0,none
Ba: Bo:,2686,T-Design Sweaters Ltd.,22-04-2022,2500,,,,,,,,,0,none
Ba: Bo:,2689,Marmeid Sweaters,07-10-2016,2500,,,,,,,,,0,none
Ba: Bo:,2691,The-Overseas Apparels & Embrodery,29-10-2016,2500,,,,,,,,,0,none
Ba: Bo:,2690,Lucky Dying & Printing Mills Ltd.,16-11-2012,7000,,,,,,,,,0,none
Ba: Bo:,2692,M/S Eva Sweater Ltd.,18-11-2017,2500,,,,,,,,,0,none
Ba: Bo:,2696,Deco Apparels Ltd.,23-11-2015,2500,,,,,,,,,0,none
Ba: Bo:,2697,Deco Apparels Ltd.,23-11-2015,2500,,,,,,,,,0,none
Ba: Bo:,2695,Jalkuri Textile Dying Printing (P:) Ltd.,26-11-2005,5000,,,,,,,,,0,none
Ba: Bo:,2698,S K Sweaters Ltd.,05-12-2022,2500,,,,,,,,,0,none
Ba: Bo:,2699,S K Sweaters Ltd.,05-12-2022,2500,,,,,,,,,0,none
Ba: Bo:,2700,Sumon Fashion Garments Ltd.,14-12-2018,2500,,,,,,,,,0,none
Ba: Bo:,2703,Anjir Apparels Ltd.,13-12-2011,2500,,,,,,,,,0,none
Ba: Bo:,2701,Evince Textiles Ltd.,20-12-2022,6000,,,,,,,,,0,none
Ba: Bo:,2708,Jita Apparels Ltd.,28-11-2012,2500,,,,,,,,,0,none
Ba: Bo:,2709,Jita Apparels Ltd.,28-11-2012,2500,,,,,,,,,0,none
Ba: Bo:,2711,Vartex Fashion Ltd.,16-12-2018,2500,,,,,,,,,0,none
Ba: Bo:,2710,Kalyndi Textile,11-12-2012,5000,,,,,,,,,0,none
Ba: Bo:,2712,Euta Kniting & Dying Ltd.,10-06-2021,6000,,,,,,,,,0,none
Ba: Bo:,2713,Utah Kniting & Dyeing Ltd.,09-06-2020,6000,,,,,,,,,0,none
Ba: Bo:,2715,S S Dying & Printing Works,01-12-2005,2500,,,,,,,,,0,none
Ba: Bo:,2714,Crown Fashion & Sweater Ind: Ltd.,15-01-2020,2500,,,,,,,,,0,none
Ba: Bo:,2717,Confidence Textile Mills (P:) Ltd.,16-01-2022,3500,,,,,,,,,0,none
Ba: Bo:,2720,Mahin Sweaters Ltd.,08-01-2004,2500,,,,,,,,,0,none
Ba: Bo:,2722,N R Kniting Mills,04-02-2012,2500,,,,,,,,,0,none
Ba: Bo:,2725,Essential Garments Ltd.,16-01-2004,2500,,,,,,,,,0,none
Ba: Bo:,2724,Momin Textile,15-02-2022,4500,,,,,,,,,0,none
Ba: Bo:,2726,Essential Garments Ltd.,15-01-2004,2500,,,,,,,,,0,none
Ba: Bo:,2723,M M Red Apparels,12-01-2004,5000,,,,,,,,,0,none
Ba: Bo:,2727,Parash moni Sweaters Ltd.,18-01-2009,2500,,,,,,,,,0,none
Ba: Bo:,2728,Parash moni Sweaters Ltd.,17-01-2010,2500,,,,,,,,,0,none
Ba: Bo:,2729,Fairlan Garments,04-01-2013,2500,,,,,,,,,0,none
Ba: Bo:,2732,Liberty Knitware Ltd.,14-01-2006,2500,,,,,,,,,0,none
Ba: Bo:,2735,Target Denim & Casual Wear Ltd.,16-12-2019,2500,,,,,,,,,0,none
Ba: Bo:,2736,Unique Washing Ind:,17-01-2004,2500,,,,,,,,,0,none
Ba: Bo:,2734,Ams International Sweaters Ltd.,06-02-2018,2500,,,,,,,,,0,none
Ba: Bo:,2737,Venus Apparels Ltd.,04-01-2016,2500,,,,,,,,,0,none
Ba: Bo:,2739,Lease Washing Industries Ltd.,20-12-2022,4500/-,,,,,,,,,0,none
Ba: Bo:,2742,Marlin Knitware Ltd.,15-01-2012,3500,,,,,,,,,0,none
Ba: Bo:,2743,J L Fashions Ltd.,06-01-2012,3500,,,,,,,,,0,none
Ba: Bo:,2746,Gold Star Apparels (P:) Ltd.,29-08-2018,6500,,,,,,,,,0,none
Ba: Bo:,2748,Natural Apparels Ltd.,30-01-2017,2500,,,,,,,,,0,none
Ba: Bo:,2752,Mohora Asian Apparels Ltd.,14-03-2023,3500/-,,,,,,,,,0,none
Ba: Bo:,2754,Badsha Textiles Ltd.,07-12-2022,3500,,,,,,,,,0,none
Ba: Bo:,2757,Diganity Textile Mills Ltd.,06-02-2023,6000,,,,,,,,,0,none
Ba: Bo:,2758,THE FASHION ISLAND LTD.,17-02-2022,2500,,,,,,,,,0,none
Ba: Bo:,2761,"B, Brothers Garments Co. Ltd.",26-02-2022,4500,,,,,,,,,0,none
Ba: Bo:,2760,Risalat Knit & Sweeter Ltd.,23-02-2008,3500,,,,,,,,,0,none
Ba: Bo:,2759,Risalat Knit & Sweeter Ltd.,23-02-2008,3500,,,,,,,,,0,none
Ba: Bo:,2764,Naser Garments Ltd.,12-02-2009,6500,,,,,,,,,0,none
Ba: Bo:,2762,C & A Textiles Ltd.,27-12-2017,5500,,,,,,,,,0,none
Ba: Bo:,2767,Famous Printing & Packeging Ltd.,09-10-2022,4500,,,,,,,,,0,none
Ba: Bo:,2768,Famous printing and packaging ltd,09-10-2022,4500,,,,,,,,,0,none
Ba: Bo:,2771,Bengal Dying & Printing Works,23-03-2012,6500,,,,,,,,,0,none
Ba: Bo:,2772,CITADEL APPARELS LTD.,13-02-2022,2500,,,,,,,,,0,none
Ba: Bo:,2773,Rahman Knit Garments Ltd.,20-09-2011,2500,,,,,,,,,0,none
Ba: Bo:,2774,Messures Sayem Fashions Ltd.,14-02-2022,2500,,,,,,,,,0,none
Ba: Bo:,2775,Impress Fashion Ltd.,14-02-2012,2500,,,,,,,,,0,none
Ba: Bo:,2777,Sang Koyang Apparels Ltd.,29-11-2022,3500,,,,,,,,,0,none
Ba: Bo:,2780,Moon Knitware & Composit Dying,05-03-2004,5500,,,,,,,,,0,none
Ba: Bo:,2781,Global Kniters Ltd.,13-03-2017,2500,,,,,,,,,0,none
Ba: Bo:,2783,Regal Garments Ltd.,29-03-2018,4500,,,,,,,,,0,none
Ba: Bo:,2778,Sang Koyang Apparels Ltd.,04-11-2021,3500,,,,,,,,,0,none
Ba: Bo:,2786,PURBANY YERN DYEING LTD.,24-03-2022,6000,,,,,,,,,0,none
Ba: Bo:,2787,Ha-Mim Apparels Ltd.,22-03-2005,2500,,,,,,,,,0,none
Ba: Bo:,2790,Z A Apparels Ltd.,03-05-2022,2500,,,,,,,,,0,none
Ba: Bo:,2793,Jonron Sweaters Ltd.,15-03-2018,2500,,,,,,,,,0,none
Ba: Bo:,2791,Asha Fashions Ltd.,14-03-2008,2500,,,,,,,,,0,none
Ba: Bo:,2792,Asha Fashions Ltd.,14-03-2008,2500,,,,,,,,,0,none
Ba: Bo:,2795,Urmy Garments Ltd.,10-03-2021,2500,,,,,,,,,0,none
Ba: Bo:,2796,Titas Sweaters Ind: Ltd.,28-03-2022,2500,,,,,,,,,0,none
Ba: Bo:,2794,Jonron Sweaters Ltd.,24-03-2021,2500,,,,,,,,,0,none
Ba: Bo:,2797,Titas Sweaters Ind: Ltd.,03-12-2022,2500,,,,,,,,,0,none
Ba: Bo:,2799,Sadia Garments Ltd.,05-04-2019,2500,,,,,,,,,0,none
Ba: Bo:,2798,Valentine Apparels & Sweater Ltd.,25-03-2005,2500,,,,,,,,,0,none
Ba: Bo:,2803,Thats It Sweater Ltd.,30-12-2018,3500,,,,,,,,,0,none
Ba: Bo:,2802,Creative Sweaters (P:) Ltd.,23-03-2004,2500,,,,,,,,,0,none
Ba: Bo:,2804,Magpai Knitware Ltd.,22-02-2023,2500,,,,,,,,,0,none
Ba: Bo:,2808,Ornate Apparels Ltd.,22-06-2016,2500,,,,,,,,,0,none
Ba: Bo:,2807,Cosmos Sweaters Ltd.,29-03-2018,3500,,,,,,,,,0,none
Ba: Bo:,2811,INTERLINK APPARELS LTD.,28-04-2021,2500,,,,,,,,,0,none
Ba: Bo:,2810,APCOTT APPARELS LTD.,04-04-2019,2500,,,,,,,,,0,none
Ba: Bo:,2814,Polstar Sweaters Ltd.,01-04-2004,2500,,,,,,,,,0,none
Ba: Bo:,2813,Multi Modern Apparels Ltd.,27-11-2013,2500,,,,,,,,,0,none
Ba: Bo:,2812,S Rahman Fashion Ltd.,02-04-2004,2500,,,,,,,,,0,none
Ba: Bo:,2815,Messures Cost to Cost Fashion Ltd.,14-12-2012,2500,,,,,,,,,0,none
Ba: Bo:,2817,Mahim Sizing & Textile Mills,16-07-2022,3500,,,,,,,,,0,none
Ba: Bo:,2818,Sepal Garments Ltd,02-02-2023,3500,,,,,,,,,0,none
Ba: Bo:,2821,Mashihata Sweaters Ltd.,10-04-2012,2500,,,,,,,,,0,none
Ba: Bo:,2827,M/s Fashion Watch Ltd.,04-10-2022,2500/-,,,,,,,,,0,none
Ba: Bo:,2829,New Age Textile Ltd.,06-06-2022,6500,,,,,,,,,0,none
Ba: Bo:,2830,Atashi Fashions Ltd.,12-12-2022,2500,,,,,,,,,0,none
Ba: Bo:,2833,Messues Dressman Garments Ltd.,11-04-2018,2500,,,,,,,,,0,none
Ba: Bo:,2834,Mondal Apparels Ltd.,17-05-2017,2500,,,,,,,,,0,none
Ba: Bo:,2835,Shenon Sweater Ltd.,24-09-2015,3500,,,,,,,,,0,none
Ba: Bo:,2837,Messures Joj Vuiyan Textile Mills,29-01-2018,4500,,,,,,,,,0,none
Ba: Bo:,2841,Mohiuddin Textile Ltd,26-04-2022,6500,,,,,,,,,0,none
Ba: Bo:,2842,Beiz Textile Ltd.,13-04-2012,4500,,,,,,,,,0,none
Ba: Bo:,2844,B R B Knitware Ltd.,27-04-2004,2500,,,,,,,,,0,none
Ba: Bo:,2846,Hamid Sweaters Ltd.,14-11-2021,2500,,,,,,,,,0,none
Ba: Bo:,2847,A R Knit Dying & Finishing Mills,27-04-2004,4500,,,,,,,,,0,none
Ba: Bo:,2849,M S Knit Dying & Finishing,28-04-2006,4500,,,,,,,,,0,none
Ba: Bo:,2848,Fakir Apparels Ltd.,13-06-2011,6500,,,,,,,,,0,none
Ba: Bo:,2850,Messures Work Knit Fabrics (P:) Ltd.,26-06-2022,7000,,,,,,,,,0,none
Ba: Bo:,2851,Sugondha Textile Printing & Processing (P:) Ltd.,13-04-2012,3500,,,,,,,,,0,none
Ba: Bo:,2852,Nippon Sweaters Ltd.,07-05-2004,2500,,,,,,,,,0,none
Ba: Bo:,2855,Unique Sweater Ind: Ltd.,24-04-2017,2500,,,,,,,,,0,none
Ba: Bo:,2856,Yang One Bangladesh Surma Garment Washing & Finishing Co. Ltd.,10-05-2022,5000,,,,,,,,,0,none
Ba: Bo:,2859,Karona Fashion Ltd.,29-05-2011,2500,,,,,,,,,0,none
Ba: Bo:,2865,Rafti Sweaters Ltd.,06-06-2007,2500,,,,,,,,,0,none
Ba: Bo:,2866,Tropical Knitex Ltd.,15-02-2023,6500,,,,,,,,,0,none
Ba: Bo:,2868,Radwan Sweaters Ltd.,26-05-2004,2500,,,,,,,,,0,none
Ba: Bo:,2867,Rafti Sweaters Ltd.,06-06-2007,2500,,,,,,,,,0,none
Ba: Bo:,2872,M M Knitwear Ltd.,01-06-2019,2500,,,,,,,,,0,none
Ba: Bo:,2875,R K Fashion Ltd.,22-06-2022,6500,,,,,,,,,0,none
Ba: Bo:,2876,Evitex Dress Shirt Ltd.,25-09-2022,2500,,,,,,,,,0,none
Ba: Bo:,2877,Niki Dying Printing & Finishing Mills Ltd.,13-11-2020,6000,,,,,,,,,0,none
Ba: Bo:,2878,A New Apparels Ltd.,23-11-2012,3500,,,,,,,,,0,none
Ba: Bo:,2880,Mobarok Textile,22-06-2022,3500/-,,,,,,,,,0,none
Ba: Bo:,2882,Chad Dying & Printing,02-03-2022,5000,,,,,,,,,0,none
Ba: Bo:,2883,S A Rahman Sweater Farabi Ltd.,16-05-2012,2500,,,,,,,,,0,none
Ba: Bo:,2885,K & K Tops Textile Co. Ltd.,03-06-2007,6500,,,,,,,,,0,none
Ba: Bo:,2887,Sonya Sweaters Ltd.,23-04-2022,3500,,,,,,,,,0,none
Ba: Bo:,2886,Arnab Sweater Ltd.,28-06-2008,2500,,,,,,,,,0,none
Ba: Bo:,2889,Latest Garments Ltd.,14-11-2016,2500,,,,,,,,,0,none
Ba: Bo:,2890,Fame Sweaters Ltd.,29-06-2014,3500,,,,,,,,,0,none
Ba: Bo:,2892,Spring Knitwares Ltd.,07-05-2012,2500,,,,,,,,,0,none
Ba: Bo:,2894,Unique Fabrics (P:) Ltd.,19-11-2017,4000,,,,,,,,,0,none
Ba: Bo:,2904,Hodies of Sun Shine Knitware Ltd.,08-06-2009,2500,,,,,,,,,0,none
Ba: Bo:,2905,Update Apparels Ltd.,29-05-2016,2500,,,,,,,,,0,none
Ba: Bo:,2906,Martin Knitware Ltd.,16-06-2006,4500,,,,,,,,,0,none
Ba: Bo:,2910,Roujap Sweaters Ltd.,13-06-2008,2500,,,,,,,,,0,none
Ba: Bo:,2908,INTERLINK APPARELS LTD.,28-04-2021,3500,,,,,,,,,0,none
Ba: Bo:,2913,Larson Fashion Ltd.,18-06-2017,2500,,,,,,,,,0,none
Ba: Bo:,2911,G M Textile Mills,14-05-2022,4500,,,,,,,,,0,none
Ba: Bo:,2912,Special Textile Mills,27-06-2005,3500,,,,,,,,,0,none
Ba: Bo:,2916,Al-Arafah Textile & Processing Ind:,18-07-2021,4500,,,,,,,,,0,none
Ba: Bo:,2917,Epilion Knitex Ltd.,24-07-2021,3500,,,,,,,,,0,none
Ba: Bo:,2919,Madina Textile,05-06-2012,4500,,,,,,,,,0,none
Ba: Bo:,2920,Oxford Shirts Ltd.,16-12-2022,2500,,,,,,,,,0,none
Ba: Bo:,2925,M B M Garments Ltd.,14-06-2022,5000,,,,,,,,,0,none
Ba: Bo:,2926,D & S Preity Fashions Ltd.,15-07-2021,3500,,,,,,,,,0,none
Ba: Bo:,2927,Commitments Knitware Ltd.,27-03-2012,2500,,,,,,,,,0,none
Ba: Bo:,2930,Paola Knitware Ltd.,22-07-2018,2500,,,,,,,,,0,none
Ba: Bo:,2931,Jong Sin Textile Ind: Ltd.,25-05-2022,7000,,,,,,,,,0,none
Ba: Bo:,2932,Trans World Sweaters Ltd.,04-07-2005,3500,,,,,,,,,0,none
Ba: Bo:,2933,Uni Vog Garments Co. Ltd.,05-07-2011,3500,,,,,,,,,0,none
Ba: Bo:,2934,Lotus Fashion Ltd.,18-07-2006,3500,,,,,,,,,0,none
Ba: Bo:,2935,Fahin Fabrics Ltd.,11-07-2010,5000,,,,,,,,,0,none
Ba: Bo:,2938,Advance Sweater Ind: Ltd.,06-01-2022,2500,,,,,,,,,0,none
Ba: Bo:,2939,Resco Sweater,04-07-2016,2500,,,,,,,,,0,none
Ba: Bo:,2941,Ring Sine Textiles Ltd.,09-08-2022,7000,,,,,,,,,0,none
Ba: Bo:,2942,Montex Fabrics Ltd.,13-07-2022,6500,,,,,,,,,0,none
Ba: Bo:,2944,New Town Knitware Co. Ltd.,20-05-2016,7000,,,,,,,,,0,none
Ba: Bo:,2943,Sanji Textile,10-07-2022,4500/-,,,,,,,,,0,none
Ba: Bo:,2945,Cold Asia Sweater Ltd.,22-02-2022,2500,,,,,,,,,0,none
Ba: Bo:,2947,Jiant Garment Ind: (P:) Ltd.,25-08-2020,2500,,,,,,,,,0,none
Ba: Bo:,2946,Six Aich Garments Ltd.,11-08-2010,2500,,,,,,,,,0,none
Ba: Bo:,2949,Blutex Knitware Ltd.,24-09-2017,6500,,,,,,,,,0,none
Ba: Bo:,2948,Star Sweaters Ltd.,02-08-2004,3500,,,,,,,,,0,none
Ba: Bo:,2953,Softex Sweater Ind: (P:) Ltd.,23-08-2021,3500,,,,,,,,,0,none
Ba: Bo:,2951,Millinium Sweater Ltd.,11-08-2005,2500,,,,,,,,,0,none
Ba: Bo:,2954,Softex Sweater Ind: (P:) Ltd.,23-08-2021,3500,,,,,,,,,0,none
Ba: Bo:,2955,Messures Rupom Textile,20-03-2019,3500,,,,,,,,,0,none
Ba: Bo:,2956,Hosen Textile Mills,24-12-2008,6500,,,,,,,,,0,none
Ba: Bo:,2959,N R Kniting Mills Ltd.,04-07-2012,2500,,,,,,,,,0,none
Ba: Bo:,2960,Rahmat Knit Dying & Finishing Ltd.,09-08-2018,6500,,,,,,,,,0,none
Ba: Bo:,2965,Islam Garments Ltd.,19-07-2017,7000,,,,,,,,,0,none
Ba: Bo:,2968,Messures Rubel Dying Screan Printing Works (P:) Ltd.,09-08-2012,6500,,,,,,,,,0,none
Ba: Bo:,2967,Mitaly Textile Mills,19-08-2004,3500,,,,,,,,,0,none
Ba: Bo:,2969,Sam Sweaters Ltd.,28-08-2011,2500,,,,,,,,,0,none
Ba: Bo:,2970,Jonaid Knitware Ltd.,15-10-2009,2500,,,,,,,,,0,none
Ba: Bo:,2973,Nippon Garments Ind: Ltd.,27-08-2017,2500,,,,,,,,,0,none
Ba: Bo:,2975,Progressive Knitware Ltd.,28-08-2005,3500,,,,,,,,,0,none
Ba: Bo:,2974,Sabuj Kniting & Dying Mills Ltd.,25-08-2005,6500,,,,,,,,,0,none
Ba: Bo:,2976,Imam Dying Kniting Printing & Finishing Ind:,29-08-2005,7000,,,,,,,,,0,none
Ba: Bo:,2979,Rancon Sweaters Ltd.,10-02-2012,3500,,,,,,,,,0,none
Ba: Bo:,2981,Uro knitwear Ltd,18-07-2022,2500,,,,,,,,,0,none
Ba: Bo:,2983,Apparels 21 Ltd.,05-09-2008,6500,,,,,,,,,0,none
Ba: Bo:,2984,Oli Knitting Fabrics Ltd.,28-09-2015,6500,,,,,,,,,0,none
Ba: Bo:,2985,SHILPI TEXTILE,13-05-2022,5000,,,,,,,,,0,none
Ba: Bo:,2987,A. N. Sweaters Ltd.,18-08-2011,2500,,,,,,,,,0,none
Ba: Bo:,2988,Ring Sahin Textiles Ltd.,24-09-2022,7000,,,,,,,,,0,none
Ba: Bo:,2990,S K S Sweaters Ltd.,10-09-2005,2500,,,,,,,,,0,none
Ba: Bo:,2991,Ikram Sweaters Ltd.,27-10-2021,5000,,,,,,,,,0,none
Ba: Bo:,2993,Laxma Fashion Ltd.,08-09-2010,3500,,,,,,,,,0,none
Ba: Bo:,2992,Ikram Sweater Ltd.,23-10-2022,5000,,,,,,,,,0,none
Ba: Bo:,2994,ABC Garments Ltd.,08-06-2021,4500,,,,,,,,,0,none
Ba: Bo:,2995,Ibrahim Composite Textile Mills Ltd.,01-01-2020,5500,,,,,,,,,0,none
Ba: Bo:,3000,S F Fashion Wares Ltd.,20-09-2017,2500,,,,,,,,,0,none
Ba: Bo:,3001,Azam Kniting Ltd.,26-09-2004,2500,,,,,,,,,0,none
Ba: Bo:,3002,B L P Wares Fashion Ltd.,24-08-2022,3500/-,,,,,,,,,0,none
Ba: Bo:,3003,A B  L Washing Plant,11-09-2015,3500,,,,,,,,,0,none
Ba: Bo:,3004,Nippon Garments Ind: Ltd.,29-08-2006,2500,,,,,,,,,0,none
Ba: Bo:,3005,Green Aro Sweater Ind: Ltd.,17-09-2007,2500,,,,,,,,,0,none
Ba: Bo:,3006,Reliable Fabrics Ltd.,27-09-2004,5500,,,,,,,,,0,none
Ba: Bo:,3011,Samdib Sweaters Ltd.,29-09-2004,2500,,,,,,,,,0,none
Ba: Bo:,3010,Siam Fabrics,04-10-2004,3500,,,,,,,,,0,none
Ba: Bo:,3012,Meghna Dying & Finishing Mills,13-10-2008,4500,,,,,,,,,0,none
Ba: Bo:,2996,Ridisha Knitex Ltd.,03-04-2014,7000,,,,,,,,,0,none
Ba: Bo:,3013,Bek Knit Ltd.,20-10-2010,2500,,,,,,,,,0,none
Ba: Bo:,3014,Karnafully Fabrics Ltd.,27-04-2019,3500,,,,,,,,,0,none
Ba: Bo:,3016,Fahija Sweaters Ltd.,29-09-2004,3500,,,,,,,,,0,none
Ba: Bo:,3017,K T S Textile Ind: Ltd.,21-10-2005,6000,,,,,,,,,0,none
Ba: Bo:,3021,M T Sweaters Ltd.,19-08-2022,3500,,,,,,,,,0,none
Ba: Bo:,3022,Haidori  Composit Knitware Ltd.,30-10-2005,6000,,,,,,,,,0,none
Ba: Bo:,3023,Pandora Fashion,09-08-2007,2500,,,,,,,,,0,none
Ba: Bo:,3024,Tuluka Fashions Ltd.,25-10-2011,2500,,,,,,,,,0,none
Ba: Bo:,3026,Global Specialized Garments Ltd.,19-10-2005,2500,,,,,,,,,0,none
Ba: Bo:,3029,Messures Aftab Fabrics,18-09-2005,3500,,,,,,,,,0,none
Ba: Bo:,3032,Rehana Dyeing.,16-11-2022,3500/-,,,,,,,,,0,none
Ba: Bo:,3034,Genius Fashions Ltd.,23-10-2004,6000,,,,,,,,,0,none
Ba: Bo:,3035,Leese Apparels Ltd.,17-02-2020,2500,,,,,,,,,0,none
Ba: Bo:,3036,Monayem Sweater Complex Ltd.,29-11-2006,2500,,,,,,,,,0,none
Ba: Bo:,3040,PANTEX DRESS LTD,06-11-2010,2500,,,,,,,,,0,none
Ba: Bo:,3044,Leese Apparels Ltd.,26-02-2021,2500,,,,,,,,,0,none
Ba: Bo:,3043,Universal Sweater Ltd.,01-11-2015,,,,,,,,,,0,none
Ba: Bo:,3046,S B Dying & Finishing Mills Ltd.,12-11-2004,3500,,,,,,,,,0,none
Ba: Bo:,3047,M J Sweaters Ltd.,13-12-2012,2500,,,,,,,,,0,none
Ba: Bo:,3048,T J Washing Plant,22-11-2008,3500,,,,,,,,,0,none
